restaurant_name,location,price_for_2,din_rating,din_count,del_rating,del_count
Yaa Mohaideen Briyani,Pallavaram,500,4.3,1500,4.3,9306
Sukkubhai Biriyani,Alandur,1000,4.4,3059,4.1,39200
SS Hyderabad Biryani,Kodambakkam,500,4.3,1361,4.4,10500
KFC,Perambur,500,4,1101,4,11200
Tasty Kitchen,Perambur,450,4.2,617,4.1,22400
Dine N Fun,Medavakkam,450,4.1,567,3.8,24700
Bai Veetu Kalyanam,Navallur,350,None,Does not offer Dining,4.3,1061
Cafe Arabica,Anna Nagar East,800,4.3,668,4.3,4320
Savoury Sea Shell,Anna Nagar East,1400,4.2,2564,4.1,21700
Sangeetha Veg Restaurant,T. Nagar,800,4.4,1578,4.2,39600
McDonald's,Velachery,500,3.9,743,3.9,6226
Kovai Alankar Vilas,Anna Nagar East,700,4.4,961,3.6,7591
Hotel Al Buhari,Vadapalani,350,4,982,3.8,22400
Dindigul Thalappakatti,Porur,900,4.3,770,4,7670
Hotel Paramount,Kilpauk,500,4.3,1266,4.2,17700
Welcome Hotel,Purasavakkam,300,4.5,1094,None,Does not offer Delivery
Arab Street,Ashok Nagar,800,4.1,1363,3.8,6228
Abid's,Chetpet,1200,4.2,742,4.1,3020
Wire Room Bar & Kitchen,"Phoenix Market City, Velachery",2000,4.1,354,None,Does not offer Delivery
Malabar Biriyani Center,Aminijikarai,450,4.1,660,3.9,12600
Velidis,Ramapuram,500,4.2,802,4.1,10600
Mami Tiffen Stall,Mylapore,400,4.3,578,3.9,14700
Supriya Andhra Restaurant,Thuraipakkam,650,4.2,1992,3.8,50100
BFF 2.0,RA Puram,1500,4.2,464,None,Does not offer Delivery
Eating Circles,Alwarpet,250,4.7,782,4.2,2744
Salem RR Briyani Unavagam,Velachery,550,4.2,1180,4,1717
V4 Midnight Dhabba,Mogappair,550,4.3,1139,3.9,10100
Bakya Veg Restaurant,West Mambalam,400,4.2,457,4,19400
Midnight Madness,Adyar,450,4.1,625,3.3,10300
Hotel Crescent,Nungambakkam,500,4.3,1030,4.2,2731
Zaitoon,Royapettah,900,4.1,1118,4.1,2895
Nithya Amirtham,Mylapore,500,4.2,403,4.3,11100
Shri Balaajee Bhavan,Chromepet,300,4.3,602,4,1868
Kakada Ramprasad,Kilpauk,450,4.3,455,4.3,4253
Rasavid,Velachery,800,3.9,350,3.4,3708
Buhari,Chromepet,800,3.5,646,3.8,1552
Domino's Pizza,Kolathur,400,4,429,4.1,5297
Shree Mithai,Chetpet,300,4.6,1085,4.4,18600
New Andhra Meals Hotel,Valasaravakkam,600,3.9,704,4.2,1457
Punjabi Nation,Guindy,700,4,712,4.1,13600
Krishna's Dosa Kadai,Mogappair,350,4.2,692,4.1,34600
Al Sham,Potheri,750,3.9,601,3.9,17500
Orange Wok,Nungambakkam,1000,4.2,774,4,8705
Ghuma Ghumalu,Navallur,500,4.2,1059,3.6,5961
KPS Ambur Biriyani,Mogappair,250,3.6,409,3.7,11300
Pedreno's,Mylapore,1200,4.3,946,4,787
Madras Biryani,Perambur,400,4,559,3.8,15600
Palmshore,Egmore,1000,4.4,2162,4,9721
Hotel Sri Vairam,Porur,300,4,523,3.8,14700
Sea Emperor,Madipakkam,900,3.8,602,3.9,6855
Andhikkadai,Velachery,200,4.6,908,4.2,17300
Paradise Biryani,Thiruvanmiyur,900,4.2,1082,4.2,6345
A2B - Adyar Ananda Bhavan,Velachery,600,3.6,565,4.1,3302
Copper Kitchen,Saligramam,1000,4.2,2275,3.9,15800
Fazari,Chromepet,750,4.2,1288,3.8,19700
Guntur Gongura,Sholinganallur,500,4.1,2449,3.8,59900
Andhra Ruchulu,Porur,300,4.1,835,3.5,22600
Brownie Heaven,Royapettah,350,4.9,842,4.3,2270
Hotel Junior Kuppanna,T. Nagar,700,4.3,1009,3.9,6225
Mezze,Alwarpet,700,4.7,1152,4.2,2249
Pantry d'or,Anna Nagar East,750,4.4,2485,3.9,9838
Maggevala - Curly Cravings,Kilpauk,400,4,731,3.7,1503
Amadora Gourmet Ice Cream & Sorbet,Nungambakkam,500,4.8,1516,4.5,361
Eatza Pizza,Nungambakkam,600,3.7,1135,2.9,3359
Samco,Velachery,800,4.3,1078,3.7,3862
Sree Akshayam,Anna Nagar East,700,4.3,1225,3.9,12600
Biriyani Palace,Porur,600,4,849,3.4,7318
Pumpkin Tales,Alwarpet,1800,4.5,768,4,245
Sandy's Chocolate Laboratory,Nungambakkam,1400,4.5,2252,4.3,1973
Hotel Saravana Bhavan,Perungudi,550,2.7,854,3.7,14500
Little Italy,Besant Nagar,1500,4.7,1349,4.2,1435
Ciclo Cafe,Kotturpuram,1100,4.3,1943,4,717
Deen Biriyani,Aminijikarai,500,3.9,460,3.8,18
Big Bang Theory - Bar & Kitchen,Kodambakkam,1600,4.1,1262,3.8,543
Onesta,Semmancheri,600,4.4,5407,3.6,4375
Fusilli Reasons,Kilpauk,400,4.7,3042,4.4,3954
Food @ Finger,Royapuram,700,4.1,1096,3.7,17100
Al Dhareeq Beef Biriyani,Kodambakkam,300,None,Does not offer Dining,3.9,19600
Shri Rajasthani Dhaba,Anna Nagar West,500,4.5,983,4.5,5537
Lucky Da Punjabi Dhabba,Perungudi,900,4.3,771,3.7,1624
Al-Najeeb Nawab Of Kebab,Kilpauk,500,4.1,345,4,8824
Skewered,Valasaravakkam,400,4.3,585,3.4,7773
Burger King,"Phoenix Market City, Velachery",500,4,1027,4.1,9066
Biryani House,Mogappair,550,4.1,669,3.6,17900
Shaack,Anna Nagar East,900,4.1,1124,4.2,9832
Bazaar - All Day Diner - Grand by GRT Hotels,Grand by GRT Hotels,2500,4.4,1198,None,Not enough Delivery Reviews
Hotel Pandian,Mogappair,500,4,515,3.9,21100
Al Raabias Biriyani,Perambur,500,3.9,447,3.8,13100
Soy Soi,Kotturpuram,1400,4.7,920,4.4,362
Coal Barbecues,Velachery,1400,4.4,9410,None,Does not offer Delivery
Hot Pot China,Perungudi,1000,4.2,763,3.4,2318
Thaqwa Biryani,Ambattur,450,4,741,3.9,13300
Fruit Shop On Greams Road,Thousand Lights,350,4.5,609,4.6,1699
Kappa Chakka Kandhari,Nungambakkam,1200,4.7,979,None,Does not offer Delivery
BOATS - Based On A True Story,Besant Nagar,1800,4.2,954,3.9,150
Amelie's,Alwarpet,900,4.3,1464,3.9,1282
Urban Spatula,Anna Nagar West,800,4.4,794,4.3,911
Madurai Kumar Mess,Vadapalani,600,4.2,816,None,Not enough Delivery Reviews
Oxygen,Potheri,500,4,780,3.6,24100
Shree Konar Vilas,Purasavakkam,500,4.1,222,3.8,3688
Subway,Anna Nagar West,500,4.4,697,4,10700
Pind,Velachery,900,4.3,2994,4.2,1896
Mainland China,"Phoenix Market City, Velachery",1800,4.6,1498,4.2,335
Kumarakom,Velachery,600,4,670,3.9,38
City Square Cafeteria,Egmore,200,4.1,611,3.7,12200
Bhangra,"Mayajaal Multiplex, Kanathur",800,4.9,2109,4,2226
Twilight Take Out,Nungambakkam,350,None,Does not offer Dining,4,11200
